ticket_id,submitted_at,closed_at,resolution_time_hours,priority,first_response_time_minutes,satisfaction_score,account_id,escalation_flag
T-88aac2,2023-12-09,2023-12-10 05:00:00,,urgent,161.0,4.0,,
T-65364E,,2024-05-26 06:00:00,6.0,high,63.0,,,
,2024-10-26,,18.0,medium,144.0,4.0,,
T-0afa9f,2023-11-02,2023-11-03 17:00:00,41.0,low,79.0,,,
,2023-04-22,2023-04-23 13:00:00,37.0,urgent,146.0,3.0,,
T-a28b90,2023-05-15,2023-05-15 16:00:00,16.0,urgent,1.0,,,
T-c27824,2023-02-16,2023-02-16 07:00:00,7.0,low,55.0,5.0,,
T-fa10d0,2023-09-11,2023-09-11 03:00:00,3.0,,18.0,,,
T-3b0545,2023-03-10,2023-03-11 00:00:00,24.0,high,168.0,,,
T-c67f26,2024-07-03,2024-07-04 03:00:00,27.0,urgent,72.0,5.0,,
,2024-08-14,2024-08-15 23:00:00,47.0,urgent,33.0,,,
T-4291F4,2024-05-21,2024-05-22 18:00:00,42.0,high,136.0,3.0,,
T-ad61d7,2023-02-09,2023-02-10 12:00:00,36.0,medium,79.0,,,
T-6b1bf1,2024-01-20,2024-01-21 10:00:00,34.0,medium,5.0,3.0,,
T-00183B,2023-09-06,2023-09-06 06:00:00,6.0,medium,5.0,4.0,,
T-d37bb3,2024-10-25,2024-10-25 19:00:00,19.0,urgent,57.0,4.0,,
T-2e3ee5,2024-09-21,2024-09-21 13:00:00,13.0,low,45.0,,,
T-fbe6c4,2023-10-26,2023-10-29 00:00:00,72.0,high,148.0,3.0,,
T-1D1488,2023-02-01,,59.0,urgent,71.0,4.0,,
T-34c636,2024-11-13,2024-11-13 04:00:00,4.0,high,,4.0,,
T-0aacaa,2023-02-02,2023-02-03 02:00:00,26.0,urgent,22.0,,,
T-3C9151,,,29.0,urgent,146.0,4.0,,
T-3915f7,2024-04-10,,11.0,medium,139.0,3.0,,
T-b7fe89,2024-04-27,2024-04-28 03:00:00,27.0,high,,4.0,,
T-f47516,2024-01-11,2024-01-13 20:00:00,,low,18.0,,,
,2023-12-07,2023-12-09 11:00:00,59.0,medium,125.0,,,
T-0037fe,2023-05-02,2023-05-02 04:00:00,4.0,urgent,78.0,3.0,,
T-01bdb9,2023-11-20,2023-11-21 19:00:00,43.0,low,34.0,3.0,,
T-EE390F,2024-03-18,,22.0,medium,125.0,,,
T-8d7ff3,2023-09-15,2023-09-15 05:00:00,5.0,urgent,147.0,,,
T-2572b1,2023-11-10,2023-11-11 18:00:00,42.0,urgent,88.0,5.0,,
,2024-01-01,,69.0,urgent,120.0,,,
T-4537a8,2024-10-14,,5.0,urgent,150.0,3.0,,
T-6804d9,2023-04-13,2023-04-15 11:00:00,59.0,high,26.0,3.0,,
T-1df6ee,2024-07-12,,32.0,low,131.0,3.0,,
T-6511fb,2023-05-25,2023-05-26 07:00:00,31.0,high,32.0,3.0,,
T-7ad7ec,2024-06-28,2024-06-29 04:00:00,28.0,high,53.0,,,
T-1c02f2,2023-11-18,2023-11-19 20:00:00,44.0,urgent,113.0,4.0,,
T-0374bc,2023-12-06,2023-12-07 14:00:00,38.0,urgent,53.0,3.0,,
T-5d8f79,2024-07-28,2024-07-29 11:00:00,35.0,medium,92.0,,,
T-cee549,2024-11-12,2024-11-12 05:00:00,5.0,urgent,37.0,3.0,,
T-fe219c,2023-03-22,,64.0,high,3.0,4.0,,
T-2912e9,2023-02-13,,,medium,133.0,,,
T-c78f8a,2023-11-04,2023-11-06 14:00:00,62.0,medium,175.0,4.0,,
T-429ce0,2023-05-31,2023-05-31 01:00:00,1.0,high,17.0,5.0,,
T-f72f97,2024-06-27,2024-06-28 17:00:00,41.0,medium,99.0,3.0,,
T-d1723a,2023-09-04,2023-09-04 08:00:00,8.0,medium,57.0,,,
T-512DEC,2023-12-16,2023-12-17 01:00:00,25.0,medium,127.0,,,
T-36b118,2023-07-18,2023-07-18 11:00:00,11.0,high,,,,
T-bd85e1,2024-09-02,2024-09-04 17:00:00,65.0,high,22.0,4.0,,
T-089718,2023-01-06,2023-01-06 13:00:00,13.0,medium,105.0,,,
T-4f0baf,2023-09-13,,27.0,urgent,60.0,,,
T-ced7f6,2024-09-18,2024-09-18 19:00:00,19.0,low,27.0,5.0,,
T-cfb0cf,2023-04-18,2023-04-19 09:00:00,33.0,low,77.0,3.0,,
,2023-09-24, 2023-09-25 09:00:00    ,33.0,,176.0,5.0,,
T-f0b00c,2024-11-16,2024-11-16 18:00:00,18.0,medium,179.0,3.0,,
T-c0657b,2023-06-12,2023-06-14 02:00:00,50.0,low,155.0,,,
T-4db443,2024-03-29,2024-03-30 07:00:00,31.0,,15.0,,,
T-19a57f,2023-10-18,2023-10-20 00:00:00,48.0,low,34.0,,,
T-8639ca,2023-09-30,2023-10-03 00:00:00,72.0,medium,145.0,5.0,,
T-26d259,2023-10-26,2023-10-28 08:00:00,56.0,low,96.0,4.0,,
T-cc9f02,2024-10-19,2024-10-20 06:00:00,30.0,urgent,80.0,,,
T-d3c23c,2023-08-25,2023-08-25 02:00:00,2.0,low,166.0,,,
T-35e9e6,,2023-08-13 17:00:00,41.0,medium,37.0,5.0,,
T-36db9a,2023-03-09,2023-03-11 00:00:00,48.0,high,125.0,5.0,,
T-9130f4,2024-03-02,2024-03-03 02:00:00,26.0,,73.0,,,
T-52b693,2024-02-17,2024-02-18 00:00:00,24.0,high,10.0,5.0,,
T-97f5bb,2024-12-25,2024-12-25 21:00:00,21.0,medium,6.0,3.0,,
,, 2024-04-13 12:00:00    ,12.0,high,63.0,,,
T-678cb9,2023-02-08,2023-02-10 18:00:00,,medium,39.0,4.0,,
T-a5b987,2023-01-27,2023-01-27 23:00:00,,high,,,,
T-94fe73,2024-08-16,2024-08-18 19:00:00,67.0,urgent,56.0,4.0,,
T-399f72,2023-12-15,2023-12-15 11:00:00,11.0,high,154.0,3.0,,
T-8f66c9,2024-07-08,2024-07-10 17:00:00,65.0,high,110.0,,,
T-ec5618,2024-09-07,2024-09-09 14:00:00,62.0,low,175.0,,,
T-1160c9,2023-09-24,2023-09-25 13:00:00,37.0,medium,58.0,3.0,,
T-512f1f,2023-12-05,2023-12-06 13:00:00,37.0,high,141.0,3.0,,
T-2d97f8,2024-02-15,2024-02-16 00:00:00,24.0,urgent,20.0,,,
,2024-07-27,2024-07-27 20:00:00,20.0,urgent,30.0,,,
,2023-12-22,2023-12-22 04:00:00,4.0,medium,29.0,5.0,,
T-9bb4f6,2024-05-20,2024-05-20 08:00:00,8.0,medium,14.0,4.0,,
T-a2dd12,2023-10-01,2023-10-02 09:00:00,33.0,,168.0,4.0,,
T-1742e2,2024-02-13,2024-02-14 13:00:00,37.0,high,32.0,,,
,2023-11-30,2023-12-02 23:00:00,71.0,low,161.0,4.0,,
,2023-12-14,2023-12-15 10:00:00,34.0,medium,46.0,,,
T-b7bd24,2023-09-11,2023-09-12 13:00:00,37.0,,78.0,,,
T-04752b,2023-03-08,2023-03-09 04:00:00,28.0,high,155.0,,,
T-90e0e9,2024-05-14,2024-05-16 03:00:00,51.0,medium,36.0,4.0,,
T-77863a,2024-01-27,2024-01-29 23:00:00,71.0,,132.0,,,
T-eecc2f,2024-12-05,2024-12-05 04:00:00,4.0,high,73.0,,,
t-6014e5,2023-10-16, 2023-10-18 09:00:00    ,57.0,high,161.0,3.0,,
T-0a20f3,2023-07-03,2023-07-05 17:00:00,65.0,medium,156.0,3.0,,
T-415f6a,2023-12-03,2023-12-04 05:00:00,29.0,urgent,2.0,,,
T-afb450,2024-05-22,2024-05-23 17:00:00,41.0,low,171.0,,,
T-b8b946,2024-04-09,2024-04-11 14:00:00,62.0,,126.0,,,
T-e771c5,2024-07-28,2024-07-30 17:00:00,65.0,,4.0,,,
 T-65eac5    ,2023-04-19, 2023-04-19 15:00:00    ,15.0,,104.0,,,
T-4ad95c,2024-12-03,2024-12-05 02:00:00,50.0,medium,122.0,,,
T-7BFD11,2024-06-04, 2024-06-05 00:00:00    ,24.0,low,11.0,,,
T-55f338,2023-01-16,2023-01-16 12:00:00,12.0,high,5.0,3.0,,
T-30918a,2024-02-28,,65.0,high,,3.0,,
T-035ec1,2024-09-11,2024-09-13 21:00:00,69.0,medium,127.0,3.0,,
T-35cdd0,,2024-08-31 17:00:00,17.0,high,67.0,,,
T-43635f,2024-11-05,2024-11-06 10:00:00,34.0,medium,152.0,4.0,,
T-192ed5,2024-09-22,2024-09-24 13:00:00,61.0,low,,,,
T-890bef,2023-01-11,2023-01-11 07:00:00,7.0,high,109.0,4.0,,
T-dd8c7f,2024-01-23,2024-01-24 06:00:00,30.0,urgent,66.0,,,
T-c88d4c,2024-09-09,2024-09-11 05:00:00,53.0,urgent,163.0,4.0,,
T-30e7ba,2024-01-17,2024-01-18 23:00:00,47.0,high,58.0,,,
T-cfbf16,2024-10-12,2024-10-14 15:00:00,,low,13.0,,,
T-ab3873,2023-01-09,2023-01-09 16:00:00,16.0,urgent,115.0,,,
T-db8ee9,2024-06-06,2024-06-06 13:00:00,13.0,medium,58.0,4.0,,
T-11a32d,2023-11-05,2023-11-07 06:00:00,54.0,urgent,86.0,,,
T-01fc55,2023-07-25,2023-07-27 22:00:00,70.0,urgent,22.0,5.0,,
T-d1168e,2024-04-09,2024-04-11 03:00:00,51.0,urgent,,5.0,,
T-23bb61,2024-06-16,2024-06-17 12:00:00,36.0,low,171.0,3.0,,
T-ac09fb,2023-09-13,2023-09-13 15:00:00,15.0,,97.0,,,
T-ed8926,2023-03-11,2023-03-12 05:00:00,29.0,medium,72.0,4.0,,
T-675f77,2023-08-16,2023-08-18 10:00:00,58.0,low,173.0,,,
 T-0134fb    ,2024-12-08, 2024-12-09 10:00:00    ,34.0,urgent,70.0,,,
t-5cfb64,2024-08-15,,69.0,low,136.0,,,
T-27abc5,2024-01-06,2024-01-08 02:00:00,38.0,high,80.0,0.0,,
T-0b8b7d,2023-04-18,2023-04-19 00:00:00,24.0,low,53.0,,,
T-30849e,2023-03-03,2023-03-03 15:00:00,15.0,low,,,,
T-5dc1bf,2024-03-29,2024-03-30 09:00:00,33.0,urgent,129.0,,,
T-0cfcc4,2024-09-13,2024-09-13 01:00:00,1.0,,164.0,4.0,,
,2023-05-08,2023-05-08 12:00:00,12.0,medium,132.0,,,
T-4bfec4,2024-11-12,2024-11-13 16:00:00,40.0,low,105.0,3.0,,
T-2fdfe5,2024-05-14,2024-05-15 15:00:00,39.0,low,114.0,4.0,,
T-07ff37,2024-01-07,2024-01-08 18:00:00,42.0,high,106.0,,,
T-484790,2023-12-13,2023-12-14 18:00:00,42.0,urgent,102.0,,,
T-37b3f3,2024-02-26,2024-02-26 21:00:00,21.0,high,132.0,5.0,,
T-a96055,2024-11-27,2024-11-29 01:00:00,49.0,medium,9.0,4.0,,
T-a1823c,2024-08-17,2024-08-19 08:00:00,56.0,urgent,25.0,,,
,,2023-06-03 04:00:00,4.0,high,,,,
T-ac9630,2023-11-11,2023-11-11 05:00:00,5.0,high,130.0,5.0,,
T-d890d5,2023-09-22,2023-09-22 12:00:00,12.0,high,131.0,,,
T-37e292,2024-06-12,2024-06-13 04:00:00,28.0,low,38.0,4.0,,
T-4c0c16,2024-07-19,2024-07-21 21:00:00,69.0,urgent,108.0,,,
T-2873de,2024-01-31,2024-01-31 12:00:00,12.0,low,59.0,3.0,,
T-b5076f,2024-08-07,2024-08-09 19:00:00,67.0,medium,53.0,3.0,,
T-68fee5,2024-03-12,2024-03-12 16:00:00,16.0,urgent,114.0,,,
T-3329cb,2024-04-30,2024-04-30 09:00:00,9.0,low,123.0,5.0,,
 T-38a3f8    ,2023-12-14,2023-12-16 18:00:00,66.0,low,41.0,,,
T-f2c439,2023-04-18,2023-04-20 21:00:00,69.0,medium,70.0,3.0,,
T-39424e,2024-08-05,2024-08-05 05:00:00,5.0,medium,137.0,,,
T-856bdd,2024-08-17,2024-08-19 00:00:00,48.0,low,52.0,,,
T-c9a926,2024-09-15,2024-09-15 15:00:00,15.0,low,126.0,5.0,,
,2023-08-17,2023-08-17 14:00:00,14.0,low,9.0,,,
,2023-04-22,2023-04-22 02:00:00,2.0,low,,5.0,,
T-6ff72c,,2024-09-03 02:00:00,26.0,high,178.0,5.0,,
T-ba2219,2023-04-24,2023-04-26 10:00:00,58.0,urgent,179.0,,,
T-ab7721,2023-03-24,2023-03-26 13:00:00,61.0,urgent,19.0,,,
T-ae3a16,2024-06-19,2024-06-21 03:00:00,51.0,,97.0,,,
T-9aee85,2024-05-26,2024-05-27 15:00:00,39.0,medium,155.0,,,
T-e17f8c,2024-02-02,2024-02-02 17:00:00,17.0,low,66.0,4.0,,
T-31cd64,2023-02-13,2023-02-14 17:00:00,41.0,urgent,33.0,4.0,,
T-814d7e,2024-11-09,2024-11-10 15:00:00,39.0,low,141.0,5.0,,
T-984352,2023-02-15,2023-02-15 10:00:00,10.0,high,129.0,4.0,,
T-ad5807,2023-01-24,,14.0,high,14.0,,,
T-7af423,2024-08-28,2024-08-28 09:00:00,9.0,medium,172.0,4.0,,
T-162d1f,2023-08-20,2023-08-22 12:00:00,60.0,high,77.0,4.0,,
T-b2925a,2024-01-15,2024-01-17 23:00:00,71.0,low,172.0,,,
T-e3507b,2023-02-28,2023-02-28 14:00:00,14.0,high,95.0,4.0,,
T-88abc2,2024-10-13,2024-10-13 12:00:00,12.0,high,159.0,,,
T-b348cc,,2023-07-23 09:00:00,33.0,urgent,145.0,4.0,,
T-42f242,2024-04-12,2024-04-14 01:00:00,49.0,high,104.0,3.0,,
T-1df364,,2024-05-06 19:00:00,19.0,medium,127.0,4.0,,
,,2023-03-29 12:00:00,60.0,urgent,101.0,3.0,,
T-2fa50a,2023-02-10,2023-02-11 13:00:00,37.0,medium,17.0,4.0,,
T-f4bc90,2023-04-28,,,high,27.0,3.0,,
T-fecc33,2023-09-07,2023-09-08 07:00:00,31.0,low,121.0,3.0,,
t-a2665a,2024-10-11,,28.0,urgent,161.0,4.0,,
,2023-05-10,2023-05-12 18:00:00,66.0,,83.0,,,
T-42c4fb,2023-08-18,2023-08-18 08:00:00,8.0,urgent,50.0,,,
T-7a1469,2024-05-02,2024-05-04 16:00:00,64.0,medium,27.0,,,
T-186d63,2024-08-08,2024-08-09 02:00:00,26.0,medium,40.0,,,
T-581c3c,2024-10-05,2024-10-06 05:00:00,29.0,high,8.0,3.0,,
T-93e27e,2023-08-06,2023-08-08 07:00:00,55.0,high,42.0,4.0,,
T-5ac967,2023-03-08,2023-03-08 12:00:00,12.0,urgent,161.0,,,
T-6086C6,2024-09-08,2024-09-08 02:00:00,2.0,urgent,84.0,,,
T-ca2383,2024-05-20,2024-05-22 12:00:00,60.0,high,79.0,5.0,,
T-271d67,2024-10-27,2024-10-27 01:00:00,1.0,urgent,1.0,,,
T-2a6f2e,2023-03-24,2023-03-24 01:00:00,1.0,low,159.0,4.0,,
T-7cab7d,2024-01-15,2024-01-15 01:00:00,1.0,low,28.0,4.0,,
,2024-11-13,2024-11-14 02:00:00,26.0,medium,37.0,,,
T-ea65ad,2024-01-30,2024-01-30 06:00:00,6.0,medium,79.0,4.0,,
T-44b8e5,2024-06-27,2024-06-29 17:00:00,65.0,low,4.0,,,
T-0111f8,2024-04-15,,23.0,high,95.0,5.0,,
T-d82e4d,2023-06-29,2023-07-01 03:00:00,51.0,urgent,120.0,,,
T-e5a027,2024-06-24,2024-06-24 01:00:00,1.0,urgent,44.0,,,
T-b123d2,2024-09-05,2024-09-05 07:00:00,,low,89.0,4.0,,
T-8a2ad9,2024-01-23,2024-01-25 23:00:00,71.0,low,125.0,,,
T-46E5CE,2024-09-06,2024-09-08 11:00:00,59.0,high,46.0,4.0,,
T-e481c6,2023-08-01,,51.0,low,22.0,,,
T-9d8a29,2024-07-16,2024-07-17 13:00:00,37.0,urgent,131.0,,,
T-bafc8d,2023-11-14,2023-11-14 01:00:00,1.0,high,122.0,,,
T-94b674,2023-10-20,2023-10-21 20:00:00,44.0,urgent,78.0,,,
T-92101f,,2024-02-13 11:00:00,,high,51.0,5.0,,
T-cd3896,2024-05-14,2024-05-15 02:00:00,26.0,high,35.0,5.0,,
T-b52677,2023-03-11,,6.0,high,138.0,3.0,,
T-3ef55f,2023-09-02,,1.0,high,,3.0,,
T-8b1323,2024-07-15,2024-07-15 12:00:00,12.0,medium,116.0,,,
T-d2f0e5,,2023-12-27 20:00:00,20.0,urgent,17.0,,,
,2023-11-05,2023-11-07 10:00:00,58.0,medium,75.0,4.0,,
T-D9600D,,2024-12-19 03:00:00,27.0,urgent,106.0,4.0,,
T-287662,2024-11-07,2024-11-08 16:00:00,,medium,57.0,3.0,,
T-7932c2,2024-01-28,2024-01-28 09:00:00,9.0,urgent,132.0,5.0,,
T-1cf7fa,2024-10-14,,12.0,high,21.0,,,
T-24d5c4,2024-03-20,2024-03-22 08:00:00,56.0,high,79.0,4.0,,
,,2024-10-19 11:00:00,59.0,low,167.0,,,
T-d5e980,2023-06-21,,18.0,low,137.0,4.0,,
T-d80204,2024-08-11,2024-08-12 05:00:00,29.0,medium,6.0,5.0,,
 T-ae53a2    ,2024-01-29,2024-01-31 11:00:00,59.0,low,,,,
T-056a79,2024-05-23,2024-05-24 08:00:00,32.0,urgent,,,,
T-27e2a5,2024-09-11,,67.0,,42.0,,,
T-f73830,2024-09-11,2024-09-13 23:00:00,71.0,low,174.0,,,
,2024-06-07,2024-06-08 07:00:00,31.0,low,108.0,,,
T-cb1b0e,2024-05-12,2024-05-14 08:00:00,56.0,,46.0,5.0,,
T-54B828,2024-02-27,2024-02-27 22:00:00,22.0,low,150.0,5.0,,
,2024-11-02,2024-11-02 12:00:00,12.0,urgent,,,,
T-72f058,2023-02-16,2023-02-16 09:00:00,9.0,high,82.0,,,
T-ed12da,2023-03-30,2023-03-31 12:00:00,36.0,medium,34.0,3.0,,
,2023-10-04,,11.0,high,91.0,4.0,,
T-2bec1c,2024-11-07,2024-11-07 15:00:00,15.0,high,51.0,,,
T-22afc4,2024-04-13,2024-04-14 11:00:00,35.0,urgent,3.0,4.0,,
T-8e58b9,2024-08-06,2024-08-06 03:00:00,3.0,high,106.0,,,
T-01387f,2024-03-26,2024-03-27 21:00:00,,low,74.0,5.0,,
 T-9f4e20    ,,2024-07-05 12:00:00,36.0,urgent,83.0,,,
T-374bd7,2023-05-14,2023-05-14 17:00:00,17.0,low,36.0,,,
T-a65795,2023-06-30,2023-06-30 08:00:00,8.0,urgent,82.0,5.0,,
T-d552c8,2024-02-21,2024-02-21 22:00:00,22.0,urgent,93.0,5.0,,
t-c6ebe1,2023-03-15,2023-03-15 20:00:00,20.0,medium,154.0,,,
T-2f3247,,2024-04-25 04:00:00,4.0,low,48.0,,,
T-5117fb,2023-12-11,2023-12-13 17:00:00,65.0,medium,64.0,,,
T-c1b39d,2024-06-05,2024-06-06 20:00:00,44.0,low,103.0,,,
T-f99a2c,2023-04-26,2023-04-26 01:00:00,1.0,medium,,3.0,,
T-83edca,2024-05-01,2024-05-01 12:00:00,12.0,urgent,99.0,5.0,,
T-721dbc,2023-10-13,2023-10-13 12:00:00,12.0,urgent,54.0,,,
T-592ec1,2023-05-23,2023-05-24 03:00:00,27.0,low,161.0,5.0,,
T-bccf47,2023-05-05,2023-05-05 15:00:00,15.0,high,92.0,,,
T-381eff,2024-12-28,2024-12-29 11:00:00,35.0,low,139.0,5.0,,
T-115c3c,,,9.0,medium,162.0,,,
 T-3d0cfa    ,2023-04-15,,23.0,urgent,50.0,3.0,,
T-ac71c9,2024-01-18,2024-01-18 08:00:00,8.0,high,155.0,3.0,,
T-bf29da,2024-04-29,2024-05-01 10:00:00,58.0,urgent,110.0,3.0,,
T-b3feb3,2024-09-14,2024-09-16 21:00:00,69.0,high,121.0,3.0,,
T-c6fa3a,2023-06-04,2023-06-06 05:00:00,53.0,low,96.0,5.0,,
T-b5fa1f,2023-10-07,2023-10-07 16:00:00,16.0,medium,57.0,,,
T-d51d42,2023-03-08,2023-03-08 09:00:00,9.0,low,149.0,5.0,,
T-ba8b3a,2023-06-18,2023-06-18 22:00:00,22.0,high,40.0,4.0,,
T-dba043,2024-06-17,2024-06-19 14:00:00,62.0,urgent,60.0,5.0,,
T-0bb5ac,2024-10-21,2024-10-21 13:00:00,13.0,low,9.0,,,
t-cff159,2023-08-15,2023-08-17 17:00:00,65.0,medium,138.0,,,
T-2b5ff8,2024-09-12,2024-09-14 18:00:00,66.0,high,32.0,5.0,,
,2023-01-25,2023-01-25 20:00:00,20.0,high,177.0,4.0,,
T-8da35c,2023-03-14,,15.0,urgent,60.0,3.0,,
,2024-03-02,2024-03-04 11:00:00,59.0,high,169.0,5.0,,
T-12a740,2024-12-29,2024-12-29 22:00:00,22.0,urgent,147.0,,,
T-9656b4,2024-07-10,2024-07-12 10:00:00,58.0,urgent,,,,
T-10fc64,2024-08-09,2024-08-09 12:00:00,12.0,medium,75.0,,,
T-069c43,2024-04-08,2024-04-10 02:00:00,50.0,high,53.0,3.0,,
T-263799,,2024-02-16 05:00:00,29.0,medium,6.0,,,
T-89a21e,2024-10-30,2024-11-01 07:00:00,55.0,high,113.0,,,
T-0ba1a8,2023-11-05,2023-11-07 06:00:00,54.0,urgent,72.0,5.0,,
T-7e4e70,2024-06-08,2024-06-09 23:00:00,47.0,low,,5.0,,
T-20af37,2024-10-30,2024-11-01 06:00:00,54.0,low,174.0,,,
,2023-10-11,2023-10-13 18:00:00,66.0,low,81.0,3.0,,
T-d895b8,2023-05-04,2023-05-05 08:00:00,32.0,low,45.0,3.0,,
T-db932a,2024-10-28,2024-10-28 10:00:00,10.0,urgent,92.0,,,
T-784b41,2023-10-10,2023-10-10 23:00:00,23.0,medium,21.0,4.0,,
T-fdf135,2023-01-04,,44.0,urgent,65.0,4.0,,
T-7905fa,2023-12-10,2023-12-11 19:00:00,,low,175.0,,,
T-4a53fe,2024-07-12,2024-07-14 01:00:00,49.0,low,153.0,,,
 T-0238f9    ,2024-07-19,2024-07-19 05:00:00,5.0,medium,,4.0,,
T-762081,2023-01-24,2023-01-25 19:00:00,43.0,urgent,118.0,5.0,,
T-8e6d12,2024-11-14,2024-11-14 01:00:00,1.0,high,83.0,4.0,,
T-fcfcf7,2024-02-13,,5.0,low,,4.0,,
T-fe6445,2024-06-05,2024-06-05 21:00:00,21.0,urgent,9.0,,,
T-ce0f83,2024-07-24,,72.0,,68.0,3.0,,
T-5752a2,2023-07-18,2023-07-19 23:00:00,47.0,urgent,82.0,4.0,,
T-c1ac80,2023-10-25,2023-10-27 18:00:00,66.0,,125.0,4.0,,
T-7eaf4c,2024-01-12,2024-01-13 10:00:00,34.0,low,63.0,3.0,,
T-7f775b,2024-01-23,2024-01-23 03:00:00,3.0,high,154.0,,,
T-e11f4e,2023-11-18,2023-11-18 20:00:00,20.0,medium,64.0,,,
T-Bbad1E,2023-11-23,2023-11-25 04:00:00,52.0,low,,,,
T-e0d92c,2023-12-27,2023-12-27 23:00:00,23.0,urgent,37.0,,,
,2024-04-07,2024-04-08 03:00:00,27.0,medium,1.0,3.0,,
T-2b3584,2024-02-14,2024-02-15 09:00:00,33.0,low,120.0,,,
T-9d29d0,2023-12-30,2023-12-31 21:00:00,45.0,low,60.0,,,
T-c6eb1f,2024-06-24,2024-06-25 19:00:00,43.0,urgent,43.0,,,
T-7f7908,2023-01-10,2023-01-10 08:00:00,8.0,low,2.0,3.0,,
T-508ea0,2023-10-21,2023-10-21 12:00:00,12.0,high,53.0,3.0,,
,2023-12-21, 2023-12-22 04:00:00    ,28.0,high,91.0,,,
T-731aca,2023-12-29,2023-12-29 14:00:00,14.0,high,36.0,,,
T-7a57cf,2023-08-21,2023-08-22 07:00:00,31.0,medium,59.0,5.0,,
T-e766b0,2023-01-14,2023-01-16 18:00:00,66.0,high,98.0,,,
T-922d49,2024-12-20,2024-12-21 07:00:00,31.0,urgent,114.0,4.0,,
T-c6e82b,2024-06-06,2024-06-07 13:00:00,37.0,high,178.0,,,
T-fe9f10,2024-03-17,,40.0,low,81.0,,,
T-e7e186,2024-02-27,2024-02-29 12:00:00,60.0,urgent,,,,
T-D980C3,2023-04-14,2023-04-14 11:00:00,11.0,urgent,20.0,,,
T-5bc279,2023-03-22,2023-03-22 23:00:00,23.0,urgent,,5.0,,
T-ffb356,2023-10-15,,47.0,high,93.0,4.0,,
T-F1C022,2023-04-10, 2023-04-10 18:00:00    ,18.0,high,73.0,3.0,,
T-71d508,2023-06-15,2023-06-15 22:00:00,22.0,low,180.0,5.0,,
T-bf44a3,2024-11-16,2024-11-17 21:00:00,45.0,high,103.0,,,
T-5da5ab,,2024-12-14 17:00:00,17.0,urgent,153.0,3.0,,
,2023-10-29, 2023-10-31 10:00:00    ,,medium,24.0,4.0,,
 T-a35ae1    ,2023-01-30,,68.0,high,38.0,,,
T-ffdef9,,2023-09-18 21:00:00,45.0,low,13.0,,,
 T-76632d    ,2024-05-16,,27.0,high,46.0,,,
 T-cbc3ef    ,2023-02-06,2023-02-08 02:00:00,50.0,medium,51.0,3.0,,
T-d9d697,2024-11-06,2024-11-08 22:00:00,70.0,urgent,3.0,,,
T-a9918a,2023-02-12,2023-02-14 15:00:00,,low,22.0,3.0,,
T-e3c91a,2023-04-29,,72.0,high,16.0,4.0,,
T-91c983,2023-05-23,2023-05-23 03:00:00,,high,177.0,5.0,,
T-ccf229,2024-07-10,2024-07-12 12:00:00,60.0,high,24.0,,,
T-0bb5ac,2024-10-21,2024-10-21 13:00:00,13.0,low,,,,
T-34ad09,2023-03-01,2023-03-02 23:00:00,47.0,urgent,37.0,,,
T-8580fd,2023-06-09,2023-06-11 02:00:00,50.0,,149.0,,,
T-399dc3,2024-12-15,2024-12-16 05:00:00,29.0,medium,127.0,,,
T-890bef,2023-01-11,2023-01-11 07:00:00,7.0,high,,4.0,,
T-e6d8dd,2024-08-10,2024-08-10 22:00:00,,urgent,175.0,5.0,,
T-83656f,2023-12-19,2023-12-20 10:00:00,34.0,low,33.0,,,
T-6511fb,2023-05-25,2023-05-26 07:00:00,31.0,high,32.0,3.0,,
T-fa177b,2023-07-28,2023-07-30 13:00:00,61.0,low,29.0,4.0,,
T-e67195,2024-10-25,2024-10-27 02:00:00,50.0,low,156.0,3.0,,
T-b475e9,2023-04-23,2023-04-23 15:00:00,15.0,urgent,109.0,,,
T-d51d42,2023-03-08,2023-03-08 09:00:00,9.0,low,149.0,5.0,,
T-58506b,2023-12-14,2023-12-14 13:00:00,13.0,urgent,124.0,4.0,,
T-22b4a9,2024-09-18,2024-09-20 10:00:00,58.0,urgent,48.0,3.0,,
T-2c42d0,2023-07-06,,1.0,urgent,144.0,3.0,,
T-5b26fc,2024-03-30,2024-03-31 06:00:00,30.0,medium,47.0,3.0,,
T-03303d,2023-11-29,2023-12-01 11:00:00,,high,7.0,,,
T-2b3584,2024-02-14,2024-02-15 09:00:00,33.0,low,120.0,5.0,,
T-b0063c,2024-02-17,2024-02-17 23:00:00,23.0,high,111.0,3.0,,
T-4537a8,2024-10-14,,5.0,,150.0,3.0,,
T-72f058,2023-02-16,2023-02-16 09:00:00,9.0,high,82.0,,,
T-5da5ab,2024-12-14,2024-12-14 17:00:00,17.0,urgent,153.0,3.0,,
T-6ba215,2023-03-24,2023-03-26 18:00:00,,low,73.0,3.0,,
T-8639Ca,2023-09-30,2023-10-03 00:00:00,72.0,,145.0,5.0,,
T-b04488,2024-11-03,2024-11-03 14:00:00,14.0,,80.0,5.0,,
T-a6af13,,2024-12-03 11:00:00,35.0,low,149.0,,,
T-0c9932,2023-10-18,2023-10-18 16:00:00,16.0,medium,50.0,5.0,,
T-88aac2,2023-12-09,2023-12-10 05:00:00,29.0,urgent,161.0,4.0,,
T-9bb4f6,,2024-05-20 08:00:00,8.0,medium,14.0,4.0,,
